เวิลด์แบงก์	NN	B_ORG	B_CLS
ช่วย	VV	O	I_CLS
พัฒนา	VV	O	I_CLS
เมือง	NN	O	I_CLS
ใหม่	VV	O	E_CLS

สิงคโปร์	NN	B_LOC	B_CLS
-	PU	O	I_CLS
ธนาคาร	NN	O	I_CLS
โลก	NN	B_LOC	I_CLS
ระดม	VV	O	I_CLS
ผู้	FX	O	I_CLS
เชี่ยวชาญ	VV	O	I_CLS
ด้าน	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
วาง	VV	O	I_CLS
ผัง	NN	O	I_CLS
เมือง	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
สาธารณูปโภค	NN	O	I_CLS
พื้นฐาน	NN	O	I_CLS
_	PU	O	I_CLS
ช่วยเหลือ	VV	O	I_CLS
ประเทศ	NN	O	I_CLS
กำลัง	AX	O	I_CLS
พัฒนา	VV	O	I_CLS
_	PU	O	I_CLS
บรรลุ	VV	O	I_CLS
เป้าหมาย	NN	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
ขยาย	VV	O	I_CLS
ตัว	NN	O	I_CLS
ทาง	NN	O	I_CLS
เศรษฐกิจ	NN	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
ปรับปรุง	VV	O	I_CLS
มาตรฐาน	NN	O	I_CLS
การ	FX	O	I_CLS
ดำรง	VV	O	I_CLS
ชีวิต	NN	O	E_CLS
ให้	CC	O	B_CLS
สูง	VV	O	I_CLS
ขึ้น	AV	O	E_CLS
_	PU	O	O
โดย	CC	O	B_CLS
ไม่	NG	O	I_CLS
ทำลาย	VV	O	I_CLS
สิ่งแวดล้อม	NN	O	E_CLS

ธนาคาร	NN	O	B_CLS
โลก	NN	B_LOC	I_CLS
เผย	VV	O	I_CLS
รายงาน	NN	O	I_CLS
ฉบับ	CL	O	I_CLS
ใหม่	VV	O	I_CLS
วาน	NN	O	I_CLS
นี้	AJ	O	I_CLS
_	PU	O	I_CLS
(	PU	O	I_CLS
28	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
มิ.ย.	NN	E_DTM	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
ภาย	NN	O	I_CLS
ใต้	PS	O	I_CLS
ชื่อ	VV	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
เมืองนิเวศวิทยา	NN	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
ฐานะ	NN	O	I_CLS
เมือง	NN	O	I_CLS
เศรษฐกิจ	NN	O	I_CLS
"	PU	O	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
แสดง	VV	O	E_CLS
ให้	CC	O	B_CLS
เห็น	VV	O	I_CLS
ถึง	PS	O	I_CLS
วิธี	NN	O	E_CLS
ที่	CC	O	B_CLS
ธนาคาร	NN	O	I_CLS
