รมว.	NN	B_DES	B_CLS
อุต	NN	B_ORG	I_CLS
ฯ	PU	E_ORG	I_CLS
เตรียม	VV	O	I_CLS
ศึกษา	VV	O	I_CLS
ดู	AV	O	I_CLS
งาน	NN	O	I_CLS
ศูนย์	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
_	PU	O	I_CLS
ณ	PS	O	I_CLS
_	PU	O	I_CLS
นคร	NN	B_LOC	I_CLS
กวางโจว	NN	B_LOC	I_CLS
_	PU	O	I_CLS
สาธารณรัฐประชาชนจีน	NN	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
เดือน	NN	B_DTM	I_CLS
สิงหาคม	NN	E_DTM	I_CLS
นี้	AJ	O	E_CLS

รัฐมนตรี	NN	O	B_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
อุตสาหกรรม	NN	E_ORG	I_CLS
_	PU	O	I_CLS
เตรียม	VV	O	I_CLS
ศึกษา	VV	O	I_CLS
ดู	AV	O	I_CLS
งาน	NN	O	I_CLS
ศูนย์	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
_	PU	O	I_CLS
ณ	PS	O	I_CLS
_	PU	O	I_CLS
นคร	NN	B_LOC	I_CLS
กวางโจว	NN	B_LOC	I_CLS
_	PU	O	I_CLS
สาธารณรัฐประชาชนจีน	NN	O	I_CLS
_	PU	O	I_CLS
ใน	PS	O	I_CLS
เดือน	NN	B_DTM	I_CLS
สิงหาคม	NN	E_DTM	I_CLS
นี้	AJ	O	I_CLS
_	PU	O	I_CLS
หวัง	VV	O	I_CLS
ขยาย	VV	O	I_CLS
ตลาด	NN	O	I_CLS
การ	FX	O	I_CLS
ค้า	VV	O	E_CLS
และ	CC	O	B_CLS
การ	FX	O	I_CLS
ลง	VV	O	I_CLS
ทุน	NN	O	I_CLS
_	PU	O	I_CLS
ไทย	NN	B_LOC	I_CLS
-	PU	O	I_CLS
จีน	NN	B_LOC	E_CLS

นาย	NN	B_TTL	B_CLS
ชาญชัย	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ชัยรุ่งเรือง	NN	E_PER	I_CLS
_	PU	O	I_CLS
รัฐมนตรี	NN	O	I_CLS
ว่าการ	VV	O	I_CLS
กระทรวง	NN	B_ORG	I_CLS
อุตสาหกรรม	NN	E_ORG	I_CLS
_	PU	O	I_CLS
กล่าว	VV	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
ปาฐกถา	NN	O	I_CLS
พิเศษ	VV	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
สัมมนา	NN	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
ทิศทาง	NN	O	E_CLS
และ	CC	O	B_CLS
การ	FX	O	I_CLS
เตรียม	VV	O	I_CLS
ความ	FX	O	I_CLS
พร้อม	VV	O	E_CLS
เพื่อ	CC	O	B_CLS
การ	FX	O	I_CLS
จัดตั้ง	VV	O	I_CLS
ศูนย์กลาง	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
แฝด	NN	O	I_CLS
โลก	NN	O	I_CLS
_	PU	O	I_CLS
ไทย	NN	B_LOC	I_CLS
-	PU	O	I_CLS
กวางโจว"	NN	O	E_CLS
_	PU	O	O
ว่า	CC	O	B_CLS
_	PU	O	O
ใน	PS	O	B_CLS
เดือน	NN	B_DTM	I_CLS
สิงหาคม	NN	E_DTM	I_CLS
นี้	AJ	O	I_CLS
จะ	AX	O	I_CLS
นำ	VV	O	I_CLS
คณะ	NN	O	I_CLS
เดินทาง	VV	O	I_CLS
ไป	AV	O	I_CLS
ดู	VV	O	I_CLS
งาน	NN	O	I_CLS
โลจิสติกส์	NN	O	I_CLS
ที่	PS	O	I_CLS
นคร	NN	B_LOC	I_CLS
กวางโจว	NN	B_LOC	E_CLS

และ	CC	O	B_CLS
ลง	VV	O	I_CLS
นาม	NN	O	I_CLS
ความ	FX	O	I_CLS
ร่วมมือ	VV	O	I_CLS
ด้าน	NN	O	I_CLS
การ	FX	O	I_CLS
ส่งเสริม	VV	O	I_CLS
การ	FX	O	I_CLS
ลง	VV	O	I_CLS
ทุน	NN	O	I_CLS
