น้า	NN	B_TTL	B_CLS
มวล	NN	B_PER	I_CLS
-	PU	O	I_CLS
โลเปซ	NN	B_PER	I_CLS
ชั่ง	VV	O	I_CLS
ฉลุย	VV	O	I_CLS
_	PU	O	I_CLS
หวั่น	VV	O	I_CLS
เปา	NN	O	I_CLS
สั่ง	VV	O	I_CLS
ต้อง	AX	O	I_CLS
น็อก	VV	O	I_CLS
_	PU	O	I_CLS
ช่อง	NN	O	I_CLS
_	PU	O	I_CLS
7	NU	B_NUM	I_CLS
_	PU	O	I_CLS
ถ่าย	VV	O	I_CLS
สด	AV	O	I_CLS
_	PU	O	I_CLS
วัน	NN	B_DTM	I_CLS
นี้	AJ	E_DTM	I_CLS
_	PU	O	I_CLS
10.00	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
น.	CL	E_DTM	E_CLS

"	PU	O	B_CLS
บัก	NN	B_TTL	I_CLS
มวล	NN	B_PER	I_CLS
"	PU	O	I_CLS
_	PU	O	I_CLS
ประมวลศักดิ์	NN	B_PER	I_CLS
_	PU	O	I_CLS
กำปั้น	NN	O	I_CLS
ไทย	NN	B_LOC	I_CLS
_	PU	O	I_CLS
กับ	PS	O	I_CLS
_	PU	O	I_CLS
โฮเซ่	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
โลเปซ	NN	E_PER	I_CLS
_	PU	O	I_CLS
คู่	NN	O	I_CLS
ชก	VV	O	I_CLS
เปอร์โตริกัน	NN	B_LOC	I_CLS
_	PU	O	I_CLS
ไม่	NG	O	I_CLS
มี	VV	O	I_CLS
ปัญหา	NN	O	I_CLS
น้ำหนัก	NN	O	I_CLS
_	PU	O	I_CLS
ชั่ง	VV	O	I_CLS
ครั้ง	CL	B_MEA	I_CLS
เดียว	NU	E_MEA	I_CLS
ฉลุย	VV	O	I_CLS
_	PU	O	I_CLS
ต่ำ	VV	O	I_CLS
กว่า	AV	O	I_CLS
พิกัด	NN	O	I_CLS
ทั้ง	AJ	O	I_CLS
คู่	NN	O	E_CLS

ด้าน	NN	O	B_CLS
นัก	FX	O	I_CLS
ชก	VV	O	I_CLS
ไทย	NN	B_LOC	I_CLS
หวัง	VV	O	I_CLS
ใช้	VV	O	I_CLS
ประสบการณ์	NN	O	I_CLS
นำ	VV	O	I_CLS
เข็มขัด	NN	O	I_CLS
กลับ	VV	O	I_CLS
ประเทศ	NN	O	E_CLS
_	PU	O	O
ส่วน	CC	O	B_CLS
_	PU	O	O
โฮเปซ	NN	B_PER	B_CLS
_	PU	O	I_CLS
ลั่น	VV	O	I_CLS
น็อก	VV	O	I_CLS
แน่	AV	O	E_CLS

ขณะ	CC	O	B_CLS
ที่	CC	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
เสี่ยโก้	NN	B_PER	I_CLS
"	PU	O	I_CLS
_	PU	O	I_CLS
ก่อเกียรติ	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
