จนท.	NN	B	B_CLS
สำนักงาน	NN	O	I_CLS
ฯ	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ยื่น	VV	O	I_CLS
เสนอ	VV	O	I_CLS
_	PU	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
สะดวก	VV	O	I_CLS
สุด	AV	O	I_CLS
หลัง	PS	O	I_CLS
_	PU	O	I_CLS
15	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
พย.	NN	E_DTM	E_CLS

เจ้าหน้า	NN	O	B_CLS
สำนักงาน	NN	B_ORG	I_CLS
คณะ	NN	I_ORG	I_CLS
กรรมการ	NN	I_ORG	I_CLS
การ	FX	I_ORG	I_CLS
เลือกตั้ง	VV	E_ORG	I_CLS
_	PU	O	I_CLS
จัด	VV	O	I_CLS
ประชุม	VV	O	I_CLS
หารือ	VV	O	I_CLS
เรื่อง	NN	O	I_CLS
เสนอ	VV	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ชุด	CL	O	I_CLS
ใหม่	VV	O	I_CLS
_	PU	O	I_CLS
เตรียม	VV	O	I_CLS
เสนอ	VV	O	I_CLS
_	PU	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
สะดวก	VV	O	I_CLS
สุด	AV	O	I_CLS
ต้อง	AX	O	I_CLS
หลัง	PS	O	I_CLS
_	PU	O	I_CLS
19	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
พ.ย.	NN	E_DTM	E_CLS

(	PU	O	B_CLS
11	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
ก.ย.	NN	E_DTM	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
ผู้สื่อข่าว	NN	O	I_CLS
รายงาน	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
สำนักงาน	NN	B_ORG	B_CLS
คณะ	NN	I_ORG	I_CLS
กรรมการ	NN	I_ORG	I_CLS
การ	FX	I_ORG	I_CLS
เลือกตั้ง	VV	E_ORG	I_CLS
_	PU	O	I_CLS
ได้	AX	O	I_CLS
จัด	VV	O	I_CLS
ประชุม	NN	O	I_CLS
หารือ	VV	O	I_CLS
เรื่อง	NN	O	I_CLS
การ	FX	O	I_CLS
เตรียม	VV	O	I_CLS
ข้อมูล	NN	O	I_CLS
และ	CC	O	I_CLS
เอกสาร	NN	O	I_CLS
_	PU	O	I_CLS
ที่	CC	O	I_CLS
เกี่ยวข้อง	VV	O	I_CLS
กับ	PS	O	I_CLS
การ	FX	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
_	PU	O	I_CLS
รวม	VV	O	E_CLS
ทั้ง	CC	O	B_CLS
กรอบ	NN	O	I_CLS
การ	FX	O	I_CLS
ดำเนิน	VV	O	I_CLS
งาน	NN	O	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
นำ	VV	O	I_CLS
เสนอ	VV	O	I_CLS
ต่อ	PS	O	I_CLS
ว่าที่	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ทั้ง	AJ	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	E_CLS
_	PU	O	O
โดย	CC	O	B_CLS
มี	VV	O	I_CLS
นาย	NN	B_TTL	I_CLS
สถาพร	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
สันติบุตร	NN	E_PER	I_CLS
_	PU	O	I_CLS
รอง	NN	O	I_CLS
เลขาธิการ	NN	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ด้าน	NN	O	I_CLS
กิจการ	NN	O	I_CLS
บริหาร	VV	O	I_CLS
กลาง	NN	O	I_CLS
เป็น	VV	O	I_CLS
ประธาน	NN	O	I_CLS
ใน	PS	O	I_CLS
ที่	NN	O	I_CLS
ประชุม	VV	O	E_CLS

นาย	NN	B_TTL	B_CLS
สถาพร	NN	B_PER	I_CLS
เปิดเผย	VV	O	I_CLS
ภายหลัง	PS	O	I_CLS
การ	FX	O	I_CLS
ประชุม	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
การ	FX	O	B_CLS
ประชุม	VV	O	I_CLS
ใน	PS	O	I_CLS
วัน	NN	B_DTM	I_CLS
นี้	AJ	O	I_CLS
แบ่ง	VV	O	I_CLS
เป็น	VV	O	I_CLS
สอง	NU	O	I_CLS
ส่วน	NN	O	I_CLS
_	PU	O	I_CLS
คือ	VV	O	I_CLS
การ	FX	O	I_CLS
การ	FX	O	I_CLS
เตรียม	VV	O	I_CLS
ข้อมูล	NN	O	E_CLS
เพื่อ	CC	O	B_CLS
เสนอ	VV	O	I_CLS
ต่อ	PS	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	E_CLS
และ	CC	O	B_CLS
ส่วน	NN	O	I_CLS
ที่	PS	O	I_CLS
สอง	NU	O	I_CLS
คือ	VV	O	I_CLS
การ	FX	O	I_CLS
เตรียม	VV	O	I_CLS
การ	FX	O	I_CLS
ต้อนรับ	VV	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
ทั้ง	AJ	O	I_CLS
_	PU	O	I_CLS
5	NU	B_NUM	I_CLS
_	PU	O	I_CLS
คน	CL	O	E_CLS

โดย	CC	O	B_CLS
ใน	PS	O	I_CLS
ส่วน	NN	O	I_CLS
ของ	PS	O	I_CLS
ข้อมูล	NN	O	I_CLS
ที่	CC	O	I_CLS
เกี่ยวข้อง	VV	O	I_CLS
กับ	PS	O	I_CLS
การ	FX	O	I_CLS
ทำงาน	VV	O	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
สำนักงาน	NN	O	I_CLS
จะ	AX	O	I_CLS
เตรียม	VV	O	I_CLS
เรื่อง	NN	O	I_CLS
ปัญหา	NN	O	I_CLS
อุปสรรค	NN	O	E_CLS
_	PU	O	O
โดยเฉพาะ	CC	O	B_CLS
เรื่อง	NN	O	I_CLS
การ	FX	O	I_CLS
เลือกตั้ง	VV	O	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
เรา	PR	O	I_CLS
จะ	AX	O	I_CLS
นำ	VV	O	I_CLS
เสนอ	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
หาก	CC	O	B_CLS
มีการ	FX	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
ใน	PS	O	I_CLS
วันที่	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
15	NU	I_DTM	I_CLS
_	PU	I_DTM	I_CLS
ต.ค.	NN	E_DTM	I_CLS
จะ	AX	O	I_CLS
ติดขัด	VV	O	I_CLS
ปัญหา	NN	O	I_CLS
ข้อกฎหมาย	NN	O	I_CLS
ด้าน	NN	O	I_CLS
ใด	AJ	O	I_CLS
บ้าง	AV	O	E_CLS

ส่วน	CC	O	B_CLS
จะ	AX	O	I_CLS
ตัดสินใจ	VV	O	I_CLS
จะ	AX	O	I_CLS
เลื่อน	VV	O	I_CLS
การ	FX	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
หรือไม่	AV	O	E_CLS
_	PU	O	O
ก็	CC	O	B_CLS
เป็น	VV	O	I_CLS
เรื่อง	NN	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	E_CLS

นอกจาก	PS	O	B_CLS
นี้	AJ	O	I_CLS
เรา	PR	O	I_CLS
ยัง	CC	O	I_CLS
ได้	AX	O	I_CLS
เตรียม	VV	O	I_CLS
ข้อมูล	NN	O	I_CLS
ด้วย	AV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
หาก	CC	O	B_CLS
จะ	AX	O	I_CLS
เลื่อน	VV	O	I_CLS
การ	FX	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
เป็น	VV	O	I_CLS
วัน	NN	O	I_CLS
ใด	AJ	O	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
มี	VV	O	I_CLS
ตาราง	NN	O	I_CLS
การ	FX	O	I_CLS
ทำงาน	VV	O	I_CLS
เป็น	VV	O	I_CLS
อย่างไร	AV	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
จะ	AX	O	I_CLS
ต้อง	AX	O	I_CLS
รับ	VV	O	I_CLS
สมัคร	VV	O	I_CLS
ใน	PS	O	I_CLS
วัน	NN	B_DTM	I_CLS
ไหน	AJ	O	E_CLS

ทั้งนี้	CC	O	B_CLS
การ	FX	O	I_CLS
ตัดสินใจ	VV	O	I_CLS
ว่า	CC	O	I_CLS
จะ	AX	O	I_CLS
ให้	CC	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
ใน	PS	O	I_CLS
วัน	NN	B_DTM	I_CLS
ใด	AJ	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
อำนาจ	NN	O	I_CLS
ของ	PS	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
แต่	CC	O	I_CLS
ใน	PS	O	I_CLS
ส่วน	NN	O	I_CLS
ของ	PS	O	I_CLS
สำนักงาน	NN	O	I_CLS
_	PU	O	I_CLS
หาก	CC	O	I_CLS
จะ	AX	O	I_CLS
ทำ	VV	O	I_CLS
ได้	AX	O	I_CLS
สะดวก	VV	O	I_CLS
ที่สุด	AV	O	I_CLS
_	PU	O	I_CLS
จะ	AX	O	I_CLS
เป็น	VV	O	I_CLS
วัน	NN	O	I_CLS
ใด	AJ	O	I_CLS
ก็	CC	O	I_CLS
ได้	AX	O	I_CLS
_	PU	O	I_CLS
แต่	CC	O	I_CLS
ต้อง	AX	O	I_CLS
เป็น	VV	O	I_CLS
วันที่	NN	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
19	NU	I_DTM	I_CLS
_	PU	I_DTM	I_CLS
พ.ย.	NN	E_DTM	I_CLS
เป็นต้นไป	AV	O	E_CLS

นาย	NN	B_TTL	B_CLS
สถาพร	NN	B_PER	I_CLS
กล่าว	VV	O	I_CLS
ต่อ	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
จะ	AX	O	B_CLS
เตรียม	VV	O	I_CLS
ข้อมูล	NN	O	I_CLS
เรื่อง	NN	O	I_CLS
การ	FX	O	I_CLS
แต่งตั้ง	VV	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
เขต	NN	O	I_CLS
_	PU	O	I_CLS
การ	FX	O	I_CLS
ประกาศ	VV	O	I_CLS
รับรอง	VV	O	I_CLS
ผล	NN	O	I_CLS
การ	FX	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
ส.ว.	NN	B_DES	E_CLS
ที่	CC	O	B_CLS
ยัง	AX	O	I_CLS
ค้าง	VV	O	I_CLS
อยู่	VV	O	I_CLS
_	PU	O	I_CLS
รวม	VV	O	I_CLS
ไป	AV	O	I_CLS
ถึง	PS	O	I_CLS
ข้อมูล	NN	O	I_CLS
เรื่อง	NN	O	I_CLS
การ	FX	O	I_CLS
ร้อง	VV	O	I_CLS
คัดค้าน	VV	O	I_CLS
การ	FX	O	I_CLS
เลือกตั้ง	VV	O	I_CLS
ท้องถิ่น	NN	O	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
กำลัง	AX	O	I_CLS
จะ	AX	O	I_CLS
หมด	VV	O	I_CLS
อายุความ	NN	O	I_CLS
ลง	VV	O	E_CLS

โดย	CC	O	B_CLS
เมื่อ	CC	O	I_CLS
_	PU	O	I_CLS
กกต.	NN	B_ORG	I_CLS
เข้า	AV	O	I_CLS
มา	AV	O	I_CLS
รับ	VV	O	I_CLS
ตำแหน่ง	NN	O	I_CLS
_	PU	O	I_CLS
สำนักงาน	NN	O	I_CLS
ก็	CC	O	I_CLS
จะ	AX	O	I_CLS
เตรียม	VV	O	I_CLS
เอกสาร	NN	O	I_CLS
เหล่า	CL	O	I_CLS
นี้	AJ	O	I_CLS
ไว้	AV	O	I_CLS
ให้	VV	O	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
ให้	CC	O	E_CLS
_	PU	O	O
กกต.	NN	B_ORG	B_CLS
ใช้	VV	O	I_CLS
ประกอบ	VV	O	I_CLS
การ	FX	O	I_CLS
พิจารณา	VV	O	E_CLS

นอกจาก	PS	O	B_CLS
นี้	AJ	O	I_CLS
จะ	AX	O	I_CLS
ประสาน	VV	O	I_CLS
