จนท.	NN	B	B_CLS
สหรัฐฯ	NN	B_ORG	I_CLS
-	PU	O	I_CLS
ปากีฯ	NN	B_PER	I_CLS
รับ	VV	O	I_CLS
การ	FX	O	I_CLS
ตาม	PS	O	I_CLS
ตัว	NN	O	I_CLS
"	PU	O	I_CLS
บิน_ลาเดน	NN	B_PER	I_CLS
"	PU	O	I_CLS
ยาก	VV	O	E_CLS

เจ้าหน้าที่	NN	O	B_CLS
สหรัฐ	NN	B_ORG	I_CLS
และ	CC	O	I_CLS
ปากีสถาน	NN	B_LOC	I_CLS
_	PU	O	I_CLS
ยอมรับ	VV	O	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
การ	FX	O	B_CLS
ติดตาม	VV	O	I_CLS
อุสมา	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
บิน	NN	I_PER	I_CLS
_	PU	I_PER	I_CLS
ลาเดน	NN	E_PER	I_CLS
_	PU	O	I_CLS
ยังคง	AX	O	I_CLS
ยาก	VV	O	E_CLS

(	PU	O	B_CLS
11	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
ก.ย.	NN	E_DTM	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
หนังสือพิมพ์	NN	O	I_CLS
เดอะ	NN	O	I_CLS
วอชิงตัน	NN	O	I_CLS
_	PU	O	I_CLS
โพสต์	NN	O	I_CLS
รายงาน	VV	O	I_CLS
อ้าง	VV	O	I_CLS
การ	FX	O	I_CLS
เปิดเผย	VV	O	I_CLS
ของ	PS	O	I_CLS
เจ้าหน้าที่	NN	O	I_CLS
ทางการ	NN	O	I_CLS
สหรัฐ	NN	O	I_CLS
_	PU	O	I_CLS
และ	CC	O	I_CLS
_	PU	O	I_CLS
ปากีสถาน	NN	B_LOC	I_CLS
ว่า	CC	O	I_CLS
_	PU	O	I_CLS
เป็น	VV	O	I_CLS
เวลา	NN	O	I_CLS
_	PU	O	I_CLS
5	NU	B_MEA	I_CLS
_	PU	I_MEA	I_CLS
ปี	CL	E_MEA	E_CLS
_	PU	O	O
หลัง	CC	O	B_CLS
เกิด	VV	O	I_CLS
วินาศกรรม	NN	O	I_CLS
_	PU	O	I_CLS
11	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
