หมอ	NN	B_TTL	B_CLS
เลี้ยบ	NN	B_PER	I_CLS
ตำหนิ	VV	O	I_CLS
กลุ่ม	NN	O	I_CLS
พันธมิตร	NN	B_ORG	I_CLS
ฯ	PU	E_ORG	I_CLS
ปชช.	NN	O	I_CLS
เลือก	VV	O	I_CLS
ข้าง	NN	O	I_CLS
ไม่	NG	O	I_CLS
ถูกต้อง	VV	O	E_CLS

โฆษก	NN	O	B_CLS
รัฐบาล	NN	O	I_CLS
_	PU	O	I_CLS
ตำหนิ	VV	O	I_CLS
พันธมิตร	NN	B_ORG	I_CLS
ฯ	PU	E_ORG	I_CLS
ให้	AX	O	I_CLS
ประชาชน	NN	O	I_CLS
เลือก	VV	O	I_CLS
ข้าง	NN	O	I_CLS
ไม่	NG	O	I_CLS
ถูกต้อง	VV	O	I_CLS
_	PU	O	I_CLS
วอน	VV	O	I_CLS
ใช้	VV	O	I_CLS
วิจารณญาณ	NN	O	I_CLS
ใน	PS	O	I_CLS
การ	FX	O	I_CLS
ฟัง	VV	O	I_CLS
_	PU	O	I_CLS
อย่า	NG	O	I_CLS
ดึง	VV	O	I_CLS
ฟ้า	NN	O	I_CLS
ต่ำ	VV	O	I_CLS
_	PU	O	I_CLS
ทำ	VV	O	I_CLS
สังคม	NN	O	I_CLS
แตกแยก	VV	O	I_CLS
_	PU	O	I_CLS
ระบุ	VV	O	I_CLS
ทุก	NU	O	I_CLS
คน	CL	O	I_CLS
จงรักภักดี	VV	O	I_CLS
ต่อ	PS	O	I_CLS
ในหลวง	NN	O	I_CLS
_	PU	O	I_CLS
เรียกร้อง	VV	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
มีชัย	NN	B_PER	I_CLS
"	PU	O	I_CLS
_	PU	O	I_CLS
นำ	VV	O	I_CLS
คำ	NN	O	I_CLS
บรรยาย	VV	O	I_CLS
ของ	PS	O	I_CLS
นายก	NN	O	I_CLS
ฯ	PU	O	E_CLS
_	PU	O	O
ทำให้	CC	O	B_CLS
เกิด	VV	O	I_CLS
ความ	FX	O	I_CLS
ชัดเจน	VV	O	I_CLS
_	PU	O	I_CLS
อึ้ง	VV	O	I_CLS
_	PU	O	I_CLS
ถูก	AX	O	I_CLS
สื่อ	NN	O	I_CLS
ถาม	VV	O	I_CLS
เรื่อง	NN	O	I_CLS
รื้อฟื้น	VV	O	I_CLS
รายการ	NN	O	I_CLS
_	PU	O	I_CLS
"	PU	O	I_CLS
นายก	NN	B_DES	I_CLS
ฯ	PU	E_DES	I_CLS
_	PU	O	I_CLS
ทักษิณ	NN	B_PER	I_CLS
พบ	VV	O	I_CLS
สื่อ	NN	O	I_CLS
มวล	NN	O	I_CLS
ชน	NN	O	I_CLS
"	PU	O	E_CLS

(	PU	O	B_CLS
6	NU	B_DTM	I_CLS
_	PU	I_DTM	I_CLS
ก.ค.	NN	E_DTM	I_CLS
)	PU	O	I_CLS
_	PU	O	I_CLS
น.พ.	NN	B_DES	I_CLS
สุรพงษ์	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
สืบวงศ์ลี	NN	E_PER	I_CLS
_	PU	O	I_CLS
โฆษก	NN	O	I_CLS
ประจำ	VV	O	I_CLS
สำนัก	NN	B_ORG	I_CLS
นายกรัฐมนตรี	NN	E_ORG	I_CLS
แถลง	VV	O	I_CLS
กรณี	NN	O	I_CLS
พันธมิตร	NN	B_ORG	I_CLS
ประชาชน	NN	I_ORG	I_CLS
เพื่อ	PS	I_ORG	I_CLS
ประชาธิปไตย	NN	E_ORG	I_CLS
ประชาชน	NN	O	I_CLS
เลือก	VV	O	I_CLS
ข้าง	NN	O	I_CLS
ระหว่าง	PS	O	I_CLS
เบื้อง	NN	O	I_CLS
สูง	VV	O	I_CLS
กับ	PS	O	I_CLS
พ.ต.ท.	NN	B_DES	I_CLS
ทักษิณ	NN	B_PER	I_CLS
_	PU	I_PER	I_CLS
ชินวัตร	NN	I_PER	I_CLS
นายก	NN	B_DES	I_CLS
รัฐมนตรี	NN	E_DES	I_CLS
ว่า	CC	O	E_CLS
_	PU	O	O
เพื่อ	CC	O	B_CLS
ให้	AX	O	I_CLS
เกิด	VV	O	I_CLS
ความ	FX	O	I_CLS
ชัดเจน	VV	O	I_CLS
ใน	PS	O	I_CLS
ประเด็น	NN	O	I_CLS
ต่าง	AJ	O	I_CLS
ๆ	PU	O	I_CLS
_	PU	O	I_CLS
ของ	PS	O	I_CLS
สถานการณ์	NN	O	I_CLS
ทาง	NN	O	I_CLS
การเมือง	NN	O	E_CLS

การ	FX	O	B_CLS
ระบุ	VV	O	E_CLS
ว่า	CC	O	B_CLS
ให้	AX	O	I_CLS
ประชาชน	NN	O	I_CLS
เลือก	VV	O	I_CLS
ข้าง	NN	O	E_CLS
เพื่อ	CC	O	B_CLS
แสดง	VV	O	I_CLS
ความ	FX	O	I_CLS
จงรักภักดี	VV	O	I_CLS
ใน	PS	O	I_CLS
พระบาทสมเด็จพระเจ้าอยู่หัว	NN	O	I_CLS
นั้น	AJ	O	I_CLS
_	PU	O	I_CLS
รัฐบาล	NN	O	I_CLS
คิด	VV	O	E_CLS
ว่า	CC	O	B_CLS
ไม่	NG	O	I_CLS
ถูกต้อง	VV	O	I_CLS
_	PU	O	I_CLS
ไม่	NG	O	I_CLS
สมควร	AX	O	I_CLS
เป็น	VV	O	I_CLS
อย่าง	FX	O	I_CLS
ยิ่ง	AV	O	E_CLS
_	PU	O	O
เพราะ	CC	O	B_CLS
ประชาชน	NN	O	I_CLS
ไทย	NN	B_LOC	I_CLS
ทุก	NU	O	I_CLS
คน	CL	O	I_CLS
ล้วน	AV	O	I_CLS
แล้วแต่	AV	O	I_CLS
มี	VV	O	I_CLS
ความ	FX	O	I_CLS
จงรักภักดี	VV	O	E_CLS
_	PU	O	O
และ	CC	O	B_CLS
สำนึก	VV	O	I_CLS
ใน	PS	O	I_CLS
พระมหากรุณาธิคุณ	NN	O	I_CLS
ของ	PS	O	I_CLS
พระบาทสมเด็จพระเจ้าอยู่หัว	NN	O	I_CLS
ตลอด	AV	O	I_CLS
_	PU	O	I_CLS
60	NU	B_MEA	I_CLS
_	PU	O	I_CLS
ปี	CL	B_MEA	E_CLS
_	PU	O	O
ที่	CC	O	B_CLS
ผ่าน	VV	O	I_CLS
มา	AV	O	E_CLS

รัฐบาล	NN	O	B_CLS
จึง	CC	O	I_CLS
อยาก	VV	O	I_CLS
